Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value
,Matías Vega,Goalkeeper,"Apr 18, 1986 ",37,['Argentina'],Brazil,Rosario,"1,91",€25k
,Matías Lescano,Goalkeeper,"Oct 12, 1986 ",37,['Argentina'],Brazil,Buenos Aires,"1,83",-
,Gonzalo Gómez,Goalkeeper,"Mar 25, 1986 ",37,['Argentina'],Brazil,Ledesma,"1,80",-
,Alex Koch,Goalkeeper,"May 13, 1986 ",37,"['Liechtenstein', 'Argentina']",Brazil,Neuquén,"1,77",-
,Juan Andrés Imola,Goalkeeper,"Jun 9, 1986 ",37,['Argentina'],Brazil,Inriville,"1,84",-
,Fernando Pellegrino,Goalkeeper,"Mar 31, 1986 ",37,"['Argentina', 'Italy']",Brazil,Buenos Aires,"1,98",-
,Valentin Brasca,Goalkeeper,"Aug 27, 1986 ",37,"['Argentina', 'Italy']",Brazil,Cordoba,"1,80",-
,Emiliano Olivero,Goalkeeper,"Mar 27, 1986 ",37,['Argentina'],Brazil,Junín (Buenos Aires),"1,93",-
1,Franco Armani,Goalkeeper,"Oct 16, 1986 ",37,['Argentina'],Brazil,Casilda,"1,89",€1.20m
23,Óscar Ustari,Goalkeeper,"Jul 3, 1986 ",37,"['Argentina', 'Italy']",Brazil,América,"1,83",€600k
1,Jorge Broun,Goalkeeper,"May 26, 1986 ",37,['Argentina'],Brazil,Rosario,"1,90",€150k
74,Marcos Díaz,Goalkeeper,"Feb 5, 1986 ",38,"['Argentina', 'Italy']",Brazil,Santa Fe,"1,87",€50k
,Alejandro Sánchez,Goalkeeper,"Oct 25, 1986 ",37,['Argentina'],Brazil,Buenos Aires,"1,88",€25k
,Juan Mendonça,Goalkeeper,"Apr 5, 1986 ",37,['Argentina'],Brazil,Mar del Plata,"1,86",€10k
,Álvaro Ramírez,Goalkeeper,"May 28, 1986 ",37,['Argentina'],Brazil,Rosario (SFE),"1,81",-
,Matías Cano,Goalkeeper,"Apr 20, 1986 ",37,['Argentina'],Brazil,Adrogué,"1,80",-
23,Mauro Beltramella,Goalkeeper,"Apr 20, 1986 ",37,"['Argentina', 'Italy']",Brazil,Olavarría,"1,89",-
,Lucas Abud,Goalkeeper,"Mar 8, 1986 ",38,['Argentina'],Brazil,Buenos Aires,"1,80",-
,Lucas Di Grazia,Goalkeeper,"Mar 5, 1986 ",38,['Argentina'],Brazil,Buenos Aires,"1,86",-
,Guillermo Stucky,Goalkeeper,"Dec 15, 1986 ",37,['Argentina'],Brazil,Sunchales,"1,86",-
,Sebastián Cuerdo,Goalkeeper,"Jul 16, 1986 ",37,"['Argentina', 'Italy']",Brazil,Santiago del Estero,"1,88",-
,Mauricio Jose Bastiera,Goalkeeper,"May 29, 1986 ",37,['Argentina'],Brazil,Buenos Aires,"1,86",-
,Elías Gómez,Goalkeeper,"Sep 13, 1986 ",37,['Argentina'],Brazil,Buenos Aires,,-
,Fernando Escobar,Goalkeeper,"Feb 21, 1986 ",38,['Argentina'],Brazil,Buenos Aires,"1,83",-
,Matías Botto,Goalkeeper,"Jun 4, 1986 ",37,['Argentina'],Brazil,Santa Rosa,"1,81",-
,Fabián Assmann,Goalkeeper,"Mar 23, 1986 ",37,['Argentina'],Brazil,Zárate,"1,89",-
,Fabián Moyano,Goalkeeper,"Jan 2, 1986 ",38,['Argentina'],Brazil,Mendoza,"1,89",-
21,Gabriel Arias,Goalkeeper,"Sep 13, 1987 ",36,"['Chile', 'Argentina']",Brazil,Neuquén,"1,89",€1.00m
1,Sergio Romero,Goalkeeper,"Feb 22, 1987 ",37,"['Argentina', 'Italy']",Brazil,Bernardo de Irigoyen,"1,92",€400k
1,César Rigamonti,Goalkeeper,"Apr 7, 1987 ",36,['Argentina'],Brazil,San Agustín,"1,86",€125k
30,Emilio Rébora,Goalkeeper,"Aug 17, 1987 ",36,['Argentina'],Brazil,Gualeguaychu,"1,82",€75k
,Julio Salvá,Goalkeeper,"May 18, 1987 ",36,['Argentina'],Brazil,Tres Lomas,"1,88",€50k
,Danilo Lerda,Goalkeeper,"Mar 30, 1987 ",36,"['Argentina', 'Uruguay']",Brazil,Arias,"1,90",€25k
,Lucas Rodríguez,Goalkeeper,"Jun 1, 1987 ",36,['Argentina'],Brazil,Salta,"1,87",-
,Julian Lovera,Goalkeeper,"Mar 9, 1987 ",37,['Argentina'],Brazil,Santa Fe de Cordoba,,-
1,Maximiliano Cossa,Goalkeeper,"Sep 28, 1987 ",36,"['Argentina', 'Italy']",Brazil,Rafaela,,-
,Mauro Ruggiero,Goalkeeper,"May 16, 1987 ",36,['Argentina'],Brazil,Río Cuarto,,-
,Adrián Arias,Goalkeeper,"Jan 21, 1987","Jan 21, 1987",['Argentina'],Brazil,Resistencia,"1,80",-
,Iván Noy,Goalkeeper,"Jun 18, 1987 ",36,['Argentina'],Brazil,Morón,,-
,Matías Piñal,Goalkeeper,"Jan 30, 1987 ",37,['Argentina'],Brazil,Río Cuarto,"1,82",-
13,Matías Dituro,Goalkeeper,"May 8, 1987 ",36,"['Argentina', 'Chile']",Brazil,Bigand,"1,91",€550k
1,Hernán Galíndez,Goalkeeper,"Mar 30, 1987 ",36,"['Ecuador', 'Argentina']",Brazil,Rosario,"1,89",€350k
19,Jonathan Rougier,Goalkeeper,"Oct 29, 1987 ",36,"['Honduras', 'Argentina']",Brazil,Villa Elisa,"1,91",€100k
22,Leandro Requena,Goalkeeper,"Sep 11, 1987 ",36,['Argentina'],Brazil,Malagueño,"1,86",€75k
13,Javier García,Goalkeeper,"Jan 29, 1987 ",37,['Argentina'],Brazil,Buenos Aires,"1,80",€50k
,Federico Cosentino,Goalkeeper,"Sep 1, 1987 ",36,"['Argentina', 'Italy']",Brazil,Rosario,"1,86",€10k
,Pablo Morata,Goalkeeper,"Jun 2, 1987 ",36,['Argentina'],Brazil,Mar del Plata (BUE),"1,86",-
,Alejandro Calabria,Goalkeeper,"Aug 11, 1987 ",36,['Argentina'],Brazil,Jáuregui,,-
,Ezequiel Viola,Goalkeeper,"Sep 1, 1987 ",36,"['Argentina', 'Italy']",Brazil,Bahía Blanca,"1,80",-
,Martin Herman,Goalkeeper,"Oct 9, 1987 ",36,['Argentina'],Brazil,Buenos Aires,"1,92",-
,Martín Perafán,Goalkeeper,"Jan 31, 1987 ",37,['Argentina'],Brazil,La Plata,"1,93",-
,Carlos Morel,Goalkeeper,"Feb 2, 1987 ",37,['Argentina'],Brazil,Barranqueras,"1,85",-
,José Alcaín,Goalkeeper,"Jul 20, 1987 ",36,['Argentina'],Brazil,General Pico,"1,86",-
,Flavio Biglia,Goalkeeper,"Feb 16, 1987 ",37,['Argentina'],Brazil,Morteros (Córdoba),"1,83",-
,Pedro Fernández,Goalkeeper,"Apr 5, 1987 ",36,['Argentina'],Brazil,Villa Adelina,"1,90",-
,Gastón Monzón,Goalkeeper,"May 13, 1987 ",36,['Argentina'],Brazil,Buenos Aires,"1,84",-
,Guillermo Sara,Goalkeeper,"Sep 30, 1987 ",36,"['Argentina', 'Italy']",Brazil,Rafaela,"1,84",-
,Agustín Vistarop,Goalkeeper,"Oct 24, 1987 ",36,['Argentina'],Brazil,Santa Rosa,"1,84",-
,Cristian Aracena,Goalkeeper,"Feb 8, 1987 ",37,['Argentina'],Brazil,Mendoza,"1,78",-
1,Agustín Marchesín,Goalkeeper,"Mar 16, 1988 ",36,"['Argentina', 'Italy']",Brazil,San Cayetano,"1,88",€1.00m
,Darío Sand,Goalkeeper,"Feb 4, 1988 ",36,['Argentina'],Brazil,Bella Vista,"1,80",€100k
,Matías Quinteros,Goalkeeper,"Oct 3, 1988 ",35,['Argentina'],Brazil,Necochea,"1,92",€75k
22,Luis Ferreiro,Goalkeeper,"Oct 28, 1988 ",35,['Argentina'],Brazil,Ituzaingó,,€10k
,Germán Salort,Goalkeeper,"Oct 14, 1988 ",35,['Argentina'],Brazil,Córdoba,"1,82",€10k
,Julio Arias,Goalkeeper,"Nov 1, 1988 ",35,['Argentina'],Brazil,Bahía Blanca,"1,88",-
,Damián González,Goalkeeper,"Aug 10, 1988 ",35,['Argentina'],Brazil,Resistencia,"1,88",-
,Diego Maidana,Goalkeeper,"Apr 29, 1988 ",35,['Argentina'],Brazil,,,-
,Federico Costa,Goalkeeper,"Oct 8, 1988 ",35,['Argentina'],Brazil,Río Cuarto,"1,88",-
,Leandro De Bortoli,Goalkeeper,"Aug 3, 1988 ",35,['Argentina'],Brazil,,"1,84",-
,Juan Pablo Ferreyra,Goalkeeper,"Feb 29, 1988 ",36,['Argentina'],Brazil,Lomas de Zamora,"1,82",-
,Luciano Molini,Goalkeeper,"Aug 18, 1988 ",35,"['Argentina', 'Italy']",Brazil,Neuquén,"1,86",-
,Marcos Forgiarini,Goalkeeper,"Mar 1, 1988 ",36,['Argentina'],Brazil,Buenos Aires,,-
,Francisco Rago,Goalkeeper,"Oct 31, 1988 ",35,['Argentina'],Brazil,Mar del Plata,"1,85",€100k
16,Manuel García,Goalkeeper,"Jul 8, 1988 ",35,['Argentina'],Brazil,Rosario,"1,88",€100k
1,Christian Fraiz,Goalkeeper,"Feb 22, 1988 ",36,"['Argentina', 'Spain']",Brazil,Buenos Aires,"1,79",€25k
,Gastón Canuto,Goalkeeper,"Jul 28, 1988 ",35,['Argentina'],Brazil,Rosario,"1,78",€10k
,Emiliano Molina,Goalkeeper,"Jan 5, 1988","Jan 5, 1988",['Argentina'],Brazil,Buenos Aires,,-
,Mauricio Pegini,Goalkeeper,"Sep 3, 1988 ",35,['Argentina'],Brazil,Salta (SAL),"1,78",-
,Federico Taborda,Goalkeeper,"Nov 1, 1988 ",35,"['Argentina', 'Italy']",Brazil,Pergamino,"1,84",-
,Sebastián Gambetta,Goalkeeper,"Mar 25, 1988 ",35,['Argentina'],Brazil,Buenos Aires,"1,80",-
,Lucas Serrano,Goalkeeper,"Nov 7, 1988 ",35,['Argentina'],Brazil,Ingeniero Maschwitz (BUE),,-
,Gonzalo Mottura,Goalkeeper,"Jan 5, 1988 ",36,['Argentina'],Brazil,,,-
,Emanuel Vargas,Goalkeeper,"Feb 13, 1988 ",36,"['Chile', 'Argentina']",Brazil,Buenos Aires,"1,85",-
,Andrés Bailo,Goalkeeper,"Sep 6, 1988 ",35,['Argentina'],Brazil,Santa Fé,"1,90",-
,Ezequiel Bergese,Goalkeeper,"Jun 27, 1988 ",35,['Argentina'],Brazil,Sunchales,,-
,Bruno Centeno,Goalkeeper,"Aug 8, 1988 ",35,['Argentina'],Brazil,Pinamar,"1,81",-
,Josué Ayala,Goalkeeper,"May 30, 1988 ",35,['Argentina'],Brazil,Buenos Aires,"1,84",-
25,Milton Álvarez,Goalkeeper,"Jan 26, 1989 ",35,['Argentina'],Brazil,Munro,"1,85",€350k
50,Diego Rodríguez,Goalkeeper,"Jun 25, 1989 ",34,"['Argentina', 'Spain']",Brazil,Buenos Aires,"1,84",€300k
1,Mariano Monllor,Goalkeeper,"Feb 28, 1989 ",35,['Argentina'],Brazil,Buenos Aires,"1,85",€100k
23,Emanuel Bilbao,Goalkeeper,"Nov 3, 1989 ",34,['Argentina'],Brazil,Pringles,"1,93",€50k
,Adrián Peralta,Goalkeeper,"May 18, 1989 ",34,"['Argentina', 'Italy']",Brazil,Córdoba,"1,81",€10k
,Darío Alemán,Goalkeeper,"Jan 6, 1989 ",35,['Argentina'],Brazil,,,-
,Damián Cebreiro,Goalkeeper,"Apr 20, 1989 ",34,['Argentina'],Brazil,Tandil,"1,90",-
,Emmanuel Becerra,Goalkeeper,"Jan 3, 1989 ",35,['Argentina'],Brazil,Justo Daract,"1,85",-
,Jonathan Ivanoff,Goalkeeper,"May 14, 1989 ",34,['Argentina'],Brazil,Charata,"1,92",-
,Gastón Giaccaglia,Goalkeeper,"Nov 30, 1989 ",34,['Argentina'],Brazil,Buenos Aires,,-
,Agustín Silva,Goalkeeper,"Jun 28, 1989 ",34,['Argentina'],Brazil,Bragado,"1,91",-
,Diego Pérez,Goalkeeper,"Nov 22, 1989 ",34,['Argentina'],Brazil,San Juan,,-
,Maximiliano Scapparoni,Goalkeeper,"Jan 13, 1989 ",35,"['Argentina', 'Italy']",Brazil,Caseros,"1,86",-
1,Lucas Hoyos,Goalkeeper,"Apr 29, 1989 ",34,['Argentina'],Brazil,Guaymallén,"1,83",€350k
32,Gonzalo Marinelli,Goalkeeper,"Feb 7, 1989 ",35,"['Argentina', 'Italy']",Brazil,José Clemente Paz,"1,79",€275k
22,Fernando Monetti,Goalkeeper,"Feb 21, 1989 ",35,"['Argentina', 'Italy']",Brazil,La Plata,"1,84",€100k
,Joaquín Ledesma,Goalkeeper,"Jun 7, 1989 ",34,['Argentina'],Brazil,Santiago del Estero,"1,87",€10k
,Walter Santillán,Goalkeeper,"Feb 12, 1989 ",35,['Argentina'],Brazil,,,-
,Iván Gorosito,Goalkeeper,"Jan 18, 1989 ",35,['Argentina'],Brazil,San Javier,"1,90",-
,Lucas Petrich,Goalkeeper,"May 14, 1989 ",34,['Argentina'],Brazil,,,-
,Emiliano Bovero,Goalkeeper,"Apr 2, 1989 ",34,['Argentina'],Brazil,San Francisco,,-
,Fernando Tantoni,Goalkeeper,"Jun 29, 1989 ",34,['Argentina'],Brazil,Pergamino,"1,90",-
,Ramiro Biscardi,Goalkeeper,"Apr 6, 1989 ",34,['Argentina'],Brazil,Bolívar,"1,82",-
,Emilio Crusat,Goalkeeper,"Feb 9, 1989 ",35,"['Argentina', 'Italy']",Brazil,Buenos Aires,"1,84",-
,Nicolás Caprio,Goalkeeper,"May 26, 1989 ",34,['Argentina'],Brazil,Santa Fé,"1,86",-
,Sebastián D’Angelo,Goalkeeper,"Jan 14, 1989 ",35,"['Argentina', 'Italy']",Brazil,San Carlos de Bariloche,"1,85",-
,Gabriel Frandino,Goalkeeper,"Nov 8, 1989 ",34,['Argentina'],Brazil,Villa Maria,"1,91",-
,Diego Quirós,Goalkeeper,"Jan 12, 1989 ",35,['Argentina'],Brazil,Buenos Aires,"1,79",-
,Facundo Lupardo,Goalkeeper,"Apr 3, 1989 ",34,['Argentina'],Brazil,Salto,"1,89",-
1,Javier Burrai,Goalkeeper,"Oct 9, 1990 ",33,"['Ecuador', 'Argentina']",Brazil,San Nicolás,"1,88",€700k
1,Leandro Chichizola,Goalkeeper,"Mar 27, 1990 ",33,"['Argentina', 'Italy']",Brazil,San Justo,"1,85",€400k
12,Andrés Desábato,Goalkeeper,"Mar 30, 1990 ",33,['Argentina'],Brazil,Murphy,"1,83",€200k
,Federico Nicosia,Goalkeeper,"Feb 5, 1990 ",34,"['Argentina', 'Peru']",Brazil,Rosario,"1,88",€125k
1,Agustín Cousillas,Goalkeeper,"Apr 19, 1990 ",33,"['Argentina', 'Italy']",Brazil,Corrientes,"1,82",€100k
,Luis Ojeda,Goalkeeper,"Mar 21, 1990 ",34,['Argentina'],Brazil,Romang,"1,83",€100k
,Fabricio Henricot,Goalkeeper,"Apr 26, 1990 ",33,['Argentina'],Brazil,Zarate,"1,78",€25k
,Sebastián Domínguez,Goalkeeper,"Dec 20, 1990 ",33,['Argentina'],Brazil,Pocito,"1,86",-
,César Horst,Goalkeeper,"May 4, 1990 ",33,['Argentina'],Brazil,,"1,89",-
,Gustavo Vergara,Goalkeeper,"Jul 19, 1990 ",33,['Argentina'],Brazil,Paraná (ERI),"1,81",-
30,Sebastián Uranga,Goalkeeper,"Sep 16, 1990 ",33,"['Puerto Rico', 'Argentina']",Brazil,Rosario,,-
,Germán Oviedo,Goalkeeper,"Dec 30, 1990 ",33,['Argentina'],Brazil,San Fernando (BUE),"1,85",-
,Fernando Presedo,Goalkeeper,"Oct 1, 1990 ",33,['Argentina'],Brazil,Buenos Aires,"1,92",-
25,Sebastián Moyano,Goalkeeper,"Aug 26, 1990 ",33,['Argentina'],Brazil,Mendoza,"1,88",€450k
,Manuel Vicentini,Goalkeeper,"Aug 29, 1990 ",33,"['Argentina', 'Italy']",Brazil,Sanford,"1,87",€225k
1,Alan Aguerre,Goalkeeper,"Aug 23, 1990 ",33,['Argentina'],Brazil,Buenos Aires,"1,84",€200k
,Sebastián Giovini,Goalkeeper,"Sep 28, 1990 ",33,['Argentina'],Brazil,La Laguna,"1,87",€100k
,Yair Bonnín,Goalkeeper,"Sep 20, 1990 ",33,['Argentina'],Brazil,Villa Elisa,"1,87",€100k
,Pablo Heredia,Goalkeeper,"Jun 11, 1990 ",33,"['Argentina', 'Chile']",Brazil,,"1,87",€75k
20,Juan Manuel Lago,Goalkeeper,"Jun 16, 1990 ",33,['Argentina'],Brazil,Buenos Aires,"1,83",-
,Lucas Partal,Goalkeeper,"Feb 20, 1990 ",34,['Argentina'],Brazil,,"1,90",-
,Exequiel Damiano,Goalkeeper,"Jul 16, 1990 ",33,['Argentina'],Brazil,,"1,86",-
,Alejandro Dianda,Goalkeeper,"Apr 27, 1990 ",33,"['Argentina', 'Italy']",Brazil,Coronel Bogado (SFE),"1,89",-
,Marcos Jara,Goalkeeper,"Aug 17, 1990 ",33,['Argentina'],Brazil,Gualeguaychú,"1,84",-
,Augusto Vantomme,Goalkeeper,"Jun 23, 1990 ",33,['Argentina'],Brazil,,,-
,Maximiliano Díaz,Goalkeeper,"May 28, 1990 ",33,['Argentina'],Brazil,Merlo,"1,94",-
,Emir Basabe,Goalkeeper,"Oct 27, 1990 ",33,['Argentina'],Brazil,Mendoza,"1,83",-
1,Martín Moyano,Goalkeeper,"Dec 22, 1990 ",33,"['Argentina', 'Italy']",Brazil,Buenos Aires,"1,80",-
,Pablo Varela,Goalkeeper,"Jan 10, 1990 ",34,"['Argentina', 'Spain']",Brazil,San Carlos de Bolívar,"1,82",-
,Germán Vouilloud,Goalkeeper,"Sep 12, 1990 ",33,['Argentina'],Brazil,General Alvear,"1,94",-
,José Cornalo,Goalkeeper,"Jan 3, 1990 ",34,['Argentina'],Brazil,Monte Caseros,"1,82",-
,Leonel Caffaratti,Goalkeeper,"Jan 30, 1990 ",34,['Argentina'],Brazil,General Baldissera (CBA),"1,82",-
,Lucas De León,Goalkeeper,"Aug 2, 1990 ",33,['Argentina'],Brazil,General Arenales,"1,79",-
,Facundo Daffonchio,Goalkeeper,"Feb 2, 1990 ",34,['Argentina'],Brazil,Junín,"1,87",-
,Lucas Vicentín,Goalkeeper,"Jul 6, 1990 ",33,"['Argentina', 'Germany']",Brazil,San Lorenzo,"1,90",-
,Pablo Lencina,Goalkeeper,"Feb 9, 1990 ",34,['Argentina'],Brazil,Aguilares,"1,86",-
1,Esteban Andrada,Goalkeeper,"Jan 26, 1991 ",33,['Argentina'],Brazil,San Martín,"1,94",€2.50m
30,Fernando de Paul,Goalkeeper,"Apr 25, 1991 ",32,"['Chile', 'Argentina']",Brazil,Álvarez,"1,83",€800k
,Ramiro Martínez,Goalkeeper,"Apr 18, 1991 ",32,['Argentina'],Brazil,Buenos Aires,"1,82",€250k
,Ignacio Pietrobono,Goalkeeper,"Jun 29, 1991 ",32,['Argentina'],Brazil,Olavarría,"1,76",€200k
1,Agustín Staropoli,Goalkeeper,"Jan 14, 1991 ",33,"['Argentina', 'Italy']",Brazil,Buenos Aires,"1,81",€50k
,Luis Rodriguez,Goalkeeper,"Jul 1, 1991 ",32,['Argentina'],Brazil,Juan José Castelli,"1,85",€10k
,Juan Fernández,Goalkeeper,"Apr 13, 1991 ",32,['Argentina'],Brazil,Quiroga,,-
,Nicolás Rodríguez,Goalkeeper,"Jan 11, 1991 ",33,['Argentina'],Brazil,,"1,86",-
,Branko De Tellería,Goalkeeper,"Nov 12, 1991 ",32,['Argentina'],Brazil,Lomas de Zamora (BUE),"1,98",-
,Adrián Domínguez,Goalkeeper,"Apr 11, 1991 ",32,['Argentina'],Brazil,Córdoba,,-
,Sebastián Anchoverri,Goalkeeper,"Apr 26, 1991 ",32,['Argentina'],Brazil,Lomas de Zamora,"1,81",-
,Federico Urraburo,Goalkeeper,"Apr 5, 1991 ",32,['Argentina'],Brazil,Roldán,"1,89",-
1,Javier Colli,Goalkeeper,"Nov 3, 1991 ",32,['Argentina'],Brazil,Buenos Aires,"1,87",-
33,Rodrigo Rey,Goalkeeper,"Mar 8, 1991 ",33,"['Argentina', 'Italy']",Brazil,Las Parejas,"1,90",€1.80m
29,Christian Limousin,Goalkeeper,"Nov 29, 1991 ",32,['Argentina'],Brazil,Buenos Aires,"1,85",€275k
1,Ezequiel Mastrolía,Goalkeeper,"Mar 25, 1991 ",32,['Argentina'],Brazil,La Tablada,"1,90",€250k
1,Cristian Correa,Goalkeeper,"May 25, 1991 ",32,"['Argentina', 'Italy']",Brazil,,"1,86",€100k
,Nicolás Carrizo,Goalkeeper,"Jul 4, 1991 ",32,['Argentina'],Brazil,Aguilares,"1,83",€25k
,Matías Llanos,Goalkeeper,"Jun 30, 1991 ",32,['Argentina'],Brazil,Rio Colorado,"1,84",-
,Federico Tursi,Goalkeeper,"Oct 28, 1991 ",32,['Argentina'],Brazil,Coronel Moldes,"1,87",-
,Gonzalo Chaves,Goalkeeper,"Feb 3, 1991 ",33,['Argentina'],Brazil,Gobernador Crespo,"1,87",-
,Nahuel Astutti,Goalkeeper,"Jul 21, 1991 ",32,['Argentina'],Brazil,Viedma (RNE),,-
,Leonardo Romero,Goalkeeper,"Aug 23, 1991 ",32,['Argentina'],Brazil,Rosario,"1,90",-
,Cristian Blanco,Goalkeeper,"Nov 30, 1991 ",32,['Argentina'],Brazil,Rosario,"1,82",-
,Nicolás Rodríguez,Goalkeeper,"Jan 11, 1991 ",33,['Argentina'],Brazil,,"1,91",-
,Emmanuel Pontet,Goalkeeper,"Jun 28, 1991 ",32,"['Argentina', 'Italy']",Brazil,Puan,"1,84",-
,Gastón Brambatti,Goalkeeper,"Jun 3, 1991 ",32,"['Argentina', 'Italy']",Brazil,San Martín,"1,99",-
,Esteban Danieri,Goalkeeper,"May 21, 1991 ",32,['Argentina'],Brazil,Buenos Aires,,-
,Diego Galanternik,Goalkeeper,"Feb 27, 1991 ",33,['Argentina'],Brazil,Buenos Aires,"1,84",-
,Rodrigo Lugo,Goalkeeper,"Oct 22, 1991 ",32,['Argentina'],Brazil,Buenos Aires,"1,91",-
1,Emiliano Martínez,Goalkeeper,"Sep 2, 1992 ",31,"['Argentina', 'Spain']",Brazil,Mar del Plata,"1,95",€28.00m
13,Paulo Gazzaniga,Goalkeeper,"Jan 2, 1992 ",32,"['Argentina', 'Italy']",Brazil,Murphy,"1,95",€4.00m
1,Alexis Martín Arias,Goalkeeper,"Jul 4, 1992 ",31,['Argentina'],Brazil,Pellegrini,"1,85",€700k
1,Federico Lanzillotta,Goalkeeper,"Dec 1, 1992 ",31,['Argentina'],Brazil,Villa Luzuriaga,"1,85",€600k
23,Rodrìgo Garcìa Accinelli,Goalkeeper,"Jul 24, 1992 ",31,"['Argentina', 'Italy']",Brazil,Pehuajó,"1,85",€100k
,Joaquín Mattalia,Goalkeeper,"Apr 26, 1992 ",31,['Argentina'],Brazil,Etruria,"1,87",€25k
,Joaquín Pucheta,Goalkeeper,"Jun 9, 1992 ",31,['Argentina'],Brazil,Villa Ángela,"1,84",€25k
,Gustavo Aguiar,Goalkeeper,"Aug 15, 1992 ",31,['Argentina'],Brazil,Paraná,"1,87",-
,Matías Giroldi,Goalkeeper,"Dec 9, 1992 ",31,['Argentina'],Brazil,,"1,86",-
,Emiliano Larrouy,Goalkeeper,"Sep 16, 1992 ",31,['Argentina'],Brazil,Coronel Pringles (BUE),"1,92",-
,Mariano Barufaldi,Goalkeeper,"Sep 4, 1992 ",31,"['Argentina', 'Italy']",Brazil,Rosario,"1,90",-
,Federico Díaz,Goalkeeper,"Apr 14, 1992 ",31,['Argentina'],Brazil,Buenos Aires,"1,85",-
,Facundo Espíndola,Goalkeeper,"Dec 26, 1992","Dec 26, 1992",['Argentina'],Brazil,,,-
1,Gerónimo Rulli,Goalkeeper,"May 20, 1992 ",31,"['Argentina', 'Italy']",Brazil,La Plata,"1,89",€6.00m
22,Guido Herrera,Goalkeeper,"Feb 29, 1992 ",32,"['Argentina', 'Italy']",Brazil,Río Cuarto,"1,87",€2.00m
23,Gaspar Servio,Goalkeeper,"Mar 9, 1992 ",32,['Argentina'],Brazil,General Belgrano,"1,85",€600k
1,Ignacio Arce,Goalkeeper,"Feb 8, 1992 ",32,['Argentina'],Brazil,Paraná,"1,85",€400k
